,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,time_window,filename,Cluster
0,0.79957986,-12.375676,-0.4625414,1.6937293,3.4855695,"[0, 0.5]",SM15XPRIZE_20240411_095302.wav,6
1,-4.226153,-11.053736,-0.52496594,1.3491565,2.2925746,"[0.5, 1.0]",SM15XPRIZE_20240411_095302.wav,1
2,-8.340453,-8.918803,0.32645118,1.2240653,1.4889116,"[1.0, 1.5]",SM15XPRIZE_20240411_095302.wav,1
3,-17.905025,-5.1323166,2.503304,0.9961912,0.17006372,"[1.5, 2.0]",SM15XPRIZE_20240411_095302.wav,1
4,-8.413086,-9.146435,1.0142039,1.5132881,1.6776736,"[2.0, 2.5]",SM15XPRIZE_20240411_095302.wav,1
5,-5.8476443,-9.980719,0.53537315,1.8004649,2.2612443,"[2.5, 3.0]",SM15XPRIZE_20240411_095302.wav,1
6,-4.4811287,-10.936087,-0.18065251,1.9131043,2.4323292,"[3.0, 3.5]",SM15XPRIZE_20240411_095302.wav,1
7,-0.41686332,-12.312566,-0.2784416,1.2872564,3.0762348,"[3.5, 4.0]",SM15XPRIZE_20240411_095302.wav,6
8,-0.84395427,-11.868454,-0.03799391,1.1947865,2.9152608,"[4.0, 4.5]",SM15XPRIZE_20240411_095302.wav,6
9,-0.5219507,-11.978877,0.07144983,1.3421742,3.1208565,"[4.5, 5.0]",SM15XPRIZE_20240411_095302.wav,6
10,0.7235786,-12.819284,-0.2516447,1.2881691,3.145017,"[5.0, 5.5]",SM15XPRIZE_20240411_095302.wav,6
11,1.1196103,-11.250554,-0.65858793,0.8987363,2.9198158,"[5.5, 6.0]",SM15XPRIZE_20240411_095302.wav,6
12,0.50375766,-11.867138,-0.5598098,1.4316915,3.4514253,"[6.0, 6.5]",SM15XPRIZE_20240411_095302.wav,6
13,-0.2660003,-13.069108,-0.33540392,1.0475589,3.0294173,"[6.5, 7.0]",SM15XPRIZE_20240411_095302.wav,6
14,-0.94801253,-11.819508,-0.61060905,1.2835373,3.0784786,"[7.0, 7.5]",SM15XPRIZE_20240411_095302.wav,6
15,-2.3750305,-11.379204,0.122115135,0.91759163,2.6433244,"[7.5, 8.0]",SM15XPRIZE_20240411_095302.wav,6
16,-15.597884,-7.524055,1.1250889,0.60617226,0.18363683,"[8.0, 8.5]",SM15XPRIZE_20240411_095302.wav,1
